id	taxonID	scientificName	kingdom	family	taxonRank	language	license	rightsHolder	bibliographicCitation	datasetName
373	373	Alchemilla wichurae (Buser) Stefánsson	Plantae	Rosaceae	species	en	https://creativecommons.org/licenses/by/4.0/	Icelandic Institute of Natural History	Wasowicz P, Heiðmarsson S (2020) A Vascular Plant Red List for Iceland. Acta Botanica Islandica, 16: 31-48. https://doi.org/10.5281/zenodo.2875162	A Vascular Plant Red List for Iceland 2018
199	199	Alopecurus aequalis Sobol.	Plantae	Poaceae	species	en	https://creativecommons.org/licenses/by/4.0/	Icelandic Institute of Natural History	Wasowicz P, Heiðmarsson S (2020) A Vascular Plant Red List for Iceland. Acta Botanica Islandica, 16: 31-48. https://doi.org/10.5281/zenodo.2875162	A Vascular Plant Red List for Iceland 2018
200	200	Alopecurus geniculatus L.	Plantae	Poaceae	species	en	https://creativecommons.org/licenses/by/4.0/	Icelandic Institute of Natural History	Wasowicz P, Heiðmarsson S (2020) A Vascular Plant Red List for Iceland. Acta Botanica Islandica, 16: 31-48. https://doi.org/10.5281/zenodo.2875162	A Vascular Plant Red List for Iceland 2018
1140	1140	Angelica archangelica L.  subsp. archangelica	Plantae	Apiaceae	subspecies	en	https://creativecommons.org/licenses/by/4.0/	Icelandic Institute of Natural History	Wasowicz P, Heiðmarsson S (2020) A Vascular Plant Red List for Iceland. Acta Botanica Islandica, 16: 31-48. https://doi.org/10.5281/zenodo.2875162	A Vascular Plant Red List for Iceland 2018
1141	1141	Angelica sylvestris L.	Plantae	Apiaceae	species	en	https://creativecommons.org/licenses/by/4.0/	Icelandic Institute of Natural History	Wasowicz P, Heiðmarsson S (2020) A Vascular Plant Red List for Iceland. Acta Botanica Islandica, 16: 31-48. https://doi.org/10.5281/zenodo.2875162	A Vascular Plant Red List for Iceland 2018
747	747	Antennaria alpina subsp. canescens (Lange) Chmiel.	Plantae	Asteraceae	subspecies	en	https://creativecommons.org/licenses/by/4.0/	Icelandic Institute of Natural History	Wasowicz P, Heiðmarsson S (2020) A Vascular Plant Red List for Iceland. Acta Botanica Islandica, 16: 31-48. https://doi.org/10.5281/zenodo.2875162	A Vascular Plant Red List for Iceland 2018
205	205	Anthoxanthum nipponicum Honda	Plantae	Poaceae	species	en	https://creativecommons.org/licenses/by/4.0/	Icelandic Institute of Natural History	Wasowicz P, Heiðmarsson S (2020) A Vascular Plant Red List for Iceland. Acta Botanica Islandica, 16: 31-48. https://doi.org/10.5281/zenodo.2875162	A Vascular Plant Red List for Iceland 2018
338	338	Anthyllis vulneraria subsp. borealis (Rouy) Jalas	Plantae	Fabaceae	subspecies	en	https://creativecommons.org/licenses/by/4.0/	Icelandic Institute of Natural History	Wasowicz P, Heiðmarsson S (2020) A Vascular Plant Red List for Iceland. Acta Botanica Islandica, 16: 31-48. https://doi.org/10.5281/zenodo.2875162	A Vascular Plant Red List for Iceland 2018
468	468	Arabidopsis petraea (L.) V.I.Dorof.	Plantae	Brassicaceae	species	en	https://creativecommons.org/licenses/by/4.0/	Icelandic Institute of Natural History	Wasowicz P, Heiðmarsson S (2020) A Vascular Plant Red List for Iceland. Acta Botanica Islandica, 16: 31-48. https://doi.org/10.5281/zenodo.2875162	A Vascular Plant Red List for Iceland 2018
470	470	Arabis alpina L.	Plantae	Brassicaceae	species	en	https://creativecommons.org/licenses/by/4.0/	Icelandic Institute of Natural History	Wasowicz P, Heiðmarsson S (2020) A Vascular Plant Red List for Iceland. Acta Botanica Islandica, 16: 31-48. https://doi.org/10.5281/zenodo.2875162	A Vascular Plant Red List for Iceland 2018
