id	locationID	countryCode	threatStatus
732	ISO_3166-2:IS	IS	Least Concern
35	ISO_3166-2:IS	IS	Least Concern
254	ISO_3166-2:IS	IS	Least Concern
255	ISO_3166-2:IS	IS	Least Concern
628	ISO_3166-2:IS	IS	Least Concern
987	ISO_3166-2:IS	IS	Least Concern
703	ISO_3166-2:IS	IS	Least Concern
684	ISO_3166-2:IS	IS	Least Concern
685	ISO_3166-2:IS	IS	Least Concern
686	ISO_3166-2:IS	IS	Least Concern
108	ISO_3166-2:IS	IS	Least Concern
270	ISO_3166-2:IS	IS	Least Concern
258	ISO_3166-2:IS	IS	Least Concern
259	ISO_3166-2:IS	IS	Least Concern
261	ISO_3166-2:IS	IS	Least Concern
262	ISO_3166-2:IS	IS	Least Concern
263	ISO_3166-2:IS	IS	Least Concern
265	ISO_3166-2:IS	IS	Least Concern
268	ISO_3166-2:IS	IS	Least Concern
267	ISO_3166-2:IS	IS	Least Concern
269	ISO_3166-2:IS	IS	Least Concern
535	ISO_3166-2:IS	IS	Least Concern
45	ISO_3166-2:IS	IS	Least Concern
44	ISO_3166-2:IS	IS	Least Concern
90	ISO_3166-2:IS	IS	Least Concern
91	ISO_3166-2:IS	IS	Least Concern
93	ISO_3166-2:IS	IS	Least Concern
94	ISO_3166-2:IS	IS	Least Concern
95	ISO_3166-2:IS	IS	Least Concern
96	ISO_3166-2:IS	IS	Least Concern
386	ISO_3166-2:IS	IS	Least Concern
387	ISO_3166-2:IS	IS	Least Concern
388	ISO_3166-2:IS	IS	Least Concern
721	ISO_3166-2:IS	IS	Least Concern
109	ISO_3166-2:IS	IS	Least Concern
271	ISO_3166-2:IS	IS	Least Concern
272	ISO_3166-2:IS	IS	Least Concern
629	ISO_3166-2:IS	IS	Least Concern
630	ISO_3166-2:IS	IS	Least Concern
295	ISO_3166-2:IS	IS	Least Concern
296	ISO_3166-2:IS	IS	Least Concern
297	ISO_3166-2:IS	IS	Least Concern
298	ISO_3166-2:IS	IS	Least Concern
300	ISO_3166-2:IS	IS	Least Concern
301	ISO_3166-2:IS	IS	Least Concern
302	ISO_3166-2:IS	IS	Least Concern
734	ISO_3166-2:IS	IS	Least Concern
735	ISO_3166-2:IS	IS	Least Concern
331	ISO_3166-2:IS	IS	Least Concern
515	ISO_3166-2:IS	IS	Least Concern
398	ISO_3166-2:IS	IS	Least Concern
540	ISO_3166-2:IS	IS	Least Concern
541	ISO_3166-2:IS	IS	Least Concern
542	ISO_3166-2:IS	IS	Least Concern
543	ISO_3166-2:IS	IS	Least Concern
546	ISO_3166-2:IS	IS	Least Concern
569	ISO_3166-2:IS	IS	Least Concern
570	ISO_3166-2:IS	IS	Least Concern
572	ISO_3166-2:IS	IS	Least Concern
573	ISO_3166-2:IS	IS	Least Concern
574	ISO_3166-2:IS	IS	Least Concern
575	ISO_3166-2:IS	IS	Least Concern
576	ISO_3166-2:IS	IS	Least Concern
431	ISO_3166-2:IS	IS	Least Concern
434	ISO_3166-2:IS	IS	Least Concern
436	ISO_3166-2:IS	IS	Least Concern
440	ISO_3166-2:IS	IS	Least Concern
402	ISO_3166-2:IS	IS	Least Concern
314	ISO_3166-2:IS	IS	Least Concern
316	ISO_3166-2:IS	IS	Least Concern
317	ISO_3166-2:IS	IS	Least Concern
318	ISO_3166-2:IS	IS	Least Concern
320	ISO_3166-2:IS	IS	Least Concern
321	ISO_3166-2:IS	IS	Least Concern
322	ISO_3166-2:IS	IS	Least Concern
323	ISO_3166-2:IS	IS	Least Concern
324	ISO_3166-2:IS	IS	Least Concern
325	ISO_3166-2:IS	IS	Least Concern
326	ISO_3166-2:IS	IS	Least Concern
273	ISO_3166-2:IS	IS	Least Concern
990	ISO_3166-2:IS	IS	Least Concern
332	ISO_3166-2:IS	IS	Least Concern
334	ISO_3166-2:IS	IS	Least Concern
335	ISO_3166-2:IS	IS	Least Concern
9	ISO_3166-2:IS	IS	Least Concern
403	ISO_3166-2:IS	IS	Least Concern
577	ISO_3166-2:IS	IS	Least Concern
581	ISO_3166-2:IS	IS	Least Concern
405	ISO_3166-2:IS	IS	Least Concern
114	ISO_3166-2:IS	IS	Least Concern
115	ISO_3166-2:IS	IS	Least Concern
116	ISO_3166-2:IS	IS	Least Concern
590	ISO_3166-2:IS	IS	Least Concern
39	ISO_3166-2:IS	IS	Least Concern
97	ISO_3166-2:IS	IS	Least Concern
521	ISO_3166-2:IS	IS	Least Concern
1133	ISO_3166-2:IS	IS	Least Concern
1054	ISO_3166-2:IS	IS	Least Concern
303	ISO_3166-2:IS	IS	Least Concern
